Name,Country,Industry,NetWorth,Company
Rob Walton,Mexico,Finance,8.5,Walmart
Sergey Brin,USA,Automotive,44.76,Google
Steve Ballmer,USA,Manufacturing,13.43,Koch Industries
Mukesh Ambani,USA,Technology,120.44,Google
Jim Walton,USA,Fashion,122.39,Walmart
Sergey Brin,USA,Technology,93.19,Walmart
Michael Bloomberg,USA,Cosmetics,117.96,Reliance Industries
Warren Buffett,France,Retail,36.62,Microsoft
Carlos Slim,USA,Technology,97.35,Reliance Industries
Larry Page,USA,Technology,88.05,Walmart
Rob Walton,France,Technology,29.31,Berkshire Hathaway
Alice Walton,USA,Technology,167.09,Zara
Larry Page,USA,Technology,60.75,Reliance Industries
Alice Walton,USA,Technology,192.96,Oracle
Larry Ellison,USA,Technology,71.13,Google
Bernard Arnault,USA,Manufacturing,10.82,Google
Larry Page,USA,Technology,90.08,Amazon
Larry Ellison,USA,Media,167.65,Koch Industries
Rob Walton,USA,Media,6.94,LVMH
Larry Page,USA,Technology,184.8,Berkshire Hathaway
Mukesh Ambani,France,Cosmetics,17.46,Microsoft
Jeff Bezos,USA,Cosmetics,117.13,Grupo Carso
Amancio Ortega,USA,Manufacturing,197.26,Zara
Amancio Ortega,USA,Petrochemicals,47.87,Google
Bernard Arnault,USA,Fashion,127.9,Zara
Mark Zuckerberg,USA,Technology,175.15,Google
Bernard Arnault,USA,Technology,53.96,Koch Industries
Michael Bloomberg,USA,Retail,148.66,Zara
Larry Ellison,USA,Fashion,72.35,Berkshire Hathaway
Charles Koch,Spain,Technology,30.55,Koch Industries
Bill Gates,France,Media,167.65,Facebook
Francoise Bettencourt Meyers,USA,Cosmetics,29.77,Walmart
Rob Walton,USA,Retail,65.8,Walmart
Mark Zuckerberg,USA,Cosmetics,120.51,Oracle
Mark Zuckerberg,USA,Technology,171.94,Microsoft
Jim Walton,USA,Technology,3.69,Tesla
Alice Walton,USA,Retail,92.64,Zara
Sergey Brin,USA,Automotive,29.97,Oracle
Rob Walton,USA,Retail,54.67,Facebook
Larry Page,Mexico,Automotive,49.35,Tesla
Warren Buffett,USA,Retail,52.33,Walmart
Jeff Bezos,USA,Technology,126.21,Berkshire Hathaway
Larry Page,USA,Retail,157.22,Berkshire Hathaway
Mark Zuckerberg,USA,Technology,87.06,Walmart
Rob Walton,USA,Technology,36.79,Tesla
Bill Gates,France,Retail,88.94,Walmart
Bill Gates,USA,Technology,104.75,Microsoft
Jim Walton,USA,Technology,196.19,Walmart
Elon Musk,USA,Technology,76.65,LVMH
